English,Pronunciation,Persian
Alligator,temsâh,تمساح
Anteater,murchekhâr,مورچه خوار
Antelope,boze kuhi,بزکوهى
Armadillo,gurkan,گورکن
Bat,khofâsh,خفاش
Bear,khers,خرس
Beaver,sage âbi,سگ آبی
Buffalo,gâvmish,گاومیش
Buffalo,buffalo,بوفالو
Bull,gave nar,گاو نر
Calf,gusâle,گوساله
Camel,shotor,شتر
Cat,gorbe,گربه
Cow,gâve made,گاو ماده
Crocodile,susmâr,سوسمار
Dog,sag,سگ
Donkey,olâgh,الاغ
Donkey,khar,خر
Elephant,fil,فیل
Fox,rubâh,روباه
Giraffe,zarâfe,زرافه
Goat,boz,بز
Gorilla,guril,گوریل
Hippo,asbe âbi,اسب آبی
Horse,asb,اسب
Hyena,kaftâr,کفتار
Kangaroo,kângoro,کانگورو
Kid,bozghâle,بزغاله
Koala bear,kulâ,کوالا
Lamb,bare,بره
Leopard,palang,پلنگ
Lion,shir,شیر
Mole,mushe kur,موش کور
Monkey,meymun,میمون
Mouse,mush,موش
Mule,ghâter,قاطر
Panda,kherse panda,خرس پاندا
Pig,khuk,خوک
Piglet,bache khuk,بچه خوک
Polar bear,kherse ghotbi,خرس قطبی
Porcupine,juje tighi,جوجه تیغی
Puppy,tule sag,توله سگ
Rabbit,khargush,خرگوش
Raccoon,râkon,راکون
Ram,ghuch,قوچ
Rat/ vole,mushe sahrâyi,موش صحرایی
Sheep,gusfand,گوسفند
Skunk,râsu,راسو
Snake,mâr,مار
Squirrel,sanjâb,سنجاب
Tiger,babr,ببر
Tortoise,lâkposht,لاك‌ پشت‌
Wolf,gorg,گرگ
Zebra,khurekhar,گورخر
